name,volumeZero,volumeOne,volumeTwo,volumeThree,volumeFour,volumeFive,volumeSix,volumeSeven,volumeEight,volumeNine
Delta,0.6,0.6,0,0,0,0,0,0,0,0
Theta,0.6,0,0,0.6,0,0,0,0,0,0
Alpha,0.6,0,0,0,0,0.6,0,0,0,0
Beta,0.6,0,0,0,0,0,0,0,0.6,0
2-Carrier,0.55,0.55,0,0,0,0,0,0,0,0
3-Carrier,0.5,0.5,0.5,0,0,0,0,0,0,0
4-Carrier,0.45,0.45,0.45,0.45,0,0,0,0,0,0
5-Carrier,0.4,0.4,0.4,0.4,0.4,0,0,0,0,0
Complex Low,0.5,0.46,0.42,0.38,0.34,0.3,0.27,0.24,0.21,0.18
Complex Medium,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
Complex High,0.18,0.21,0.24,0.27,0.3,0.34,0.38,0.42,0.46,0.5
Your Eyes Will Close,0.6,0.4,0.25,0.15,0.07,0.03,0,0,0,0
Waking Up,0,0,0,0,0.03,0.07,0.15,0.25,0.4,0.6
1 Hz,0.6,0.6,0,0,0,0,0,0,0,0
2 Hz,0,0.6,0.6,0,0,0,0,0,0,0
3 Hz,0.6,0,0.6,0,0,0,0,0,0,0
4 Hz,0.6,0,0,0.6,0,0,0,0,0,0
6 Hz,0.6,0,0,0,0.6,0,0,0,0,0
8 Hz,0.6,0,0,0,0,0.6,0,0,0,0
12 Hz,0.6,0,0,0,0,0,0.6,0,0,0
16 Hz,0.6,0,0,0,0,0,0,0.6,0,0
24 Hz,0.6,0,0,0,0,0,0,0,0.6,0
32 Hz,0.6,0,0,0,0,0,0,0,0,0.6
1a,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1b,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0
2a,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2b,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0
2c,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0
3a,0.6,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3b,0.0,0.6,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
3c,0.0,0.0,0.6,0.0,0.6,0.0,0.0,0.0,0.0,0.0
4a,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
4b,0.0,0.0,0.0,0.6,0.0,0.6,0.0,0.0,0.0,0.0
4c,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0
4d,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0
5a,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0
5b,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0
6a,0.6,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0
6b,0.0,0.0,0.0,0.0,0.6,0.0,0.6,0.0,0.0,0.0
8a,0.6,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0
8b,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.0
8c,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.6,0.0,0.0
8d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0
8e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6
10,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0
11,0.0,0.6,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
12a,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
12b,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.6,0.0,0.0
12c,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.6,0.0
13,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.6,0.0,0.0
15,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0
16a,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0
16b,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.0
16c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.6
18,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.6,0.0
20a,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.6,0.0
20b,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6
21,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.0
23,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0
24a,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0
24b,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.6
26,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.6
28,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6
29,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6
31,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
32,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
