name,volumeZero,volumeOne,volumeTwo,volumeThree,volumeFour,volumeFive,volumeSix,volumeSeven,volumeEight,volumeNine
First Class,0.4,0.4,0.4,0.4,0.3,0.2,0.1,0,0.1,0
Business,0.4,0.4,0.4,0.5,0.4,0.2,0.1,0,0.1,0
Economy,0.4,0.4,0.35,0.7,0.35,0.2,0.1,0,0.1,0
Fresh Air,0.4,0.4,0.4,0.5,0.31,0,0,0,0.14,0.14
Occupied,0.45,0.41,0.37,0.33,0.41,0.25,0.17,0.17,0.17,0.11
A320,0.35,0.25,0.05,0.6,0.05,0.05,0.05,0.05,0.05,0.05
A330,0.35,0.25,0.6,0.22,0.21,0.19,0.06,0.05,0.05,0.05
B737,0.5,0.17,0.25,0.38,0.51,0.22,0.05,0.05,0.05,0.05
B747,0.8,0.5,0.3,0.2,0.25,0.2,0.1,0.08,0.08,0.08
Takeoff,0.68,0.67,0.64,0.55,0.44,0.31,0.15,0.05,0.08,0.1
Overnight,0.5,0.3,0.3,0.7,0.31,0.24,0.19,0.14,0.1,0.1
Rumble Only,0.8,0,0,0,0,0,0,0,0,0
On Ground Airco Test,0,0,0.14,0.22,0.23,0.22,0.21,0.1,0,0
Brown,0.5,0.46,0.42,0.38,0.34,0.3,0.27,0.24,0.21,0.18
Pink,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
White,0.16,0.19,0.22,0.25,0.27,0.31,0.35,0.38,0.42,0.45
Grey,0.5,0.3,0.25,0.2,0.2,0.2,0.18,0.16,0.2,0.3
Infra,0.6,0.4,0.25,0.15,0.07,0.03,0,0,0,0
Ultra,0,0,0,0,0.03,0.06,0.12,0.19,0.3,0.45
Around 60Hz,0.35,0.5,0.35,0,0,0,0,0,0,0
125Hz,0,0.4,0.5,0.4,0,0,0,0,0,0
250Hz,0,0,0.35,0.45,0.35,0,0,0,0,0
500Hz,0,0,0,0.3,0.4,0.3,0,0,0,0
1kHz,0,0,0,0,0.3,0.4,0.3,0,0,0
2kHz,0,0,0,0,0,0.3,0.4,0.3,0,0
4kHz,0,0,0,0,0,0,0.3,0.4,0.3,0
8kHz ,0,0,0,0,0,0,0,0.35,0.45,0.35
Speech Blocker,0.14,0.22,0.28,0.4,0.46,0.42,0.28,0.21,0.13,0.05
