name,volumeZero,volumeOne,volumeTwo,volumeThree,volumeFour,volumeFive,volumeSix,volumeSeven,volumeEight,volumeNine
Vinylizer,0.29,0.25,0.22,0.19,0.19,0.2,0.22,0.28,0.34,0
Gramophone,0,0,0,0.35,0,0,0,0,0.35,0
78 RPM,0.4,0.3,0,0.3,0,0,0,0,0,0
LP,0,0,0,0,0,0.23,0,0.3,0.2,0.15
Second Hand,0,0,0.32,0.26,0.42,0.21,0.3,0.14,0.25,0.14
Scratched!,0,0,0.48,0,0,0,0,0,0.25,0.14
Scratches,0,0,0.38,0,0.46,0,0.26,0,0.23,0
Monophonic,0,0.3,0,0.33,0,0.33,0,0,0.32,0
Stereophonic,0,0,0,0,0,0.29,0.38,0.34,0.19,0.22
Hissy,0,0,0,0,0,0,0,0,0.2,0.3
Dusty,0,0,0,0.19,0,0.33,0,0.26,0.18,0
End of Groove,0.28,0,0.45,0,0.35,0,0.35,0,0.33,0
