name,volumeZero,volumeOne,volumeTwo,volumeThree,volumeFour,volumeFive,volumeSix,volumeSeven,volumeEight,volumeNine
(Not So) Quiet Room,0,0,0,0,0,0.4,0.4,0.4,0.4,0
Meet the Supervisor,0.5,0,0.3,0,0,0,0,0,0,0
The Exam,0,0,0.5,0.5,0,0,0,0,0,0
One Minute Left,0,0.5,0,0.3,0.3,0,0,0,0,0
Old School,0.3,0,0.3,0.3,0,0.5,0,0,0,0
Inspired,0.3,0,0.3,0.3,0,0,0.6,0,0,0
Checking,0.3,0,0.3,0.3,0,0,0,0,0.6,0
OMG Pen Clicking,0.3,0,0.3,0.3,0,0,0,0.6,0,0
The Library,0,0,0.2,0.2,0,0,0,0,0,0.6
Occasional Coughs,0,0.3,0.4,0.4,0.4,0,0,0,0,0
