name,volumeZero,volumeOne,volumeTwo,volumeThree,volumeFour,volumeFive,volumeSix,volumeSeven,volumeEight,volumeNine
Life Form,0.3,0.4,0.3,0.4,0.4,0.3,0,0,0.3,0.3
Heart Beat and Breath ,0,0,0,0,0.6,0.4,0,0,0,0
Noises from the Inside,0,0.5,0.3,0,0,0,0,0,0.5,0
Noises from the Outside,0.6,0,0.3,0,0,0,0,0,0.5,0.3
Aquatic Life,0,0.4,0.6,0,0,0,0,0,0,0
Mom Whispering,0,0,0,0,0.4,0.2,0.6,0,0.2,0.2
Dad Talking,0,0,0,0,0.4,0.2,0,0.6,0.2,0.2
Sub Rumble,0.6,0,0,0,0,0,0,0,0,0
Inner Noise,0,0.6,0,0,0,0,0,0,0,0
Blood Pressure,0,0,0.6,0,0,0,0,0,0,0
Amniotic Fluid,0,0,0,0.6,0,0,0,0,0,0
Heart Beat,0,0,0,0,0.6,0,0,0,0,0
Every Breath,0,0,0,0,0,0.6,0,0,0,0
Mom Voice,0,0,0,0,0,0,0.5,0,0,0
Dad Voice,0,0,0,0,0,0,0,0.5,0,0
Outer Noise,0,0,0,0,0,0,0,0,0.5,0
Every Move,0,0,0,0,0,0,0,0,0,0.5
