name,volumeZero,volumeOne,volumeTwo,volumeThree,volumeFour,volumeFive,volumeSix,volumeSeven,volumeEight,volumeNine
Introduction,0.5,0,0,0,0,0,0.2,0.2,0,0
Twin Talk,0,0,0.5,0.5,0,0,0,0,0,0
Deeper And Deeper,0.3,0,0.3,0,0.3,0,0.5,0,0,0
Binaural (Soft),0,0,0,0,0.5,0.5,0,0,0,0
Binaural (Strong),0,0,0,0,0,0,0.5,0.5,0,0
In-ear ASMR Whisper 1,0,0,0,0,0,0,0,0,0.5,0
In-ear ASMR Whisper 2,0,0,0,0,0,0,0,0,0,0.5
Confusion 1,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0
Confusion 2,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5
II,0,0.5,0,0,0,0,0,0,0,0
III,0,0,0.5,0,0,0,0,0,0,0
IV,0,0,0,0.5,0,0,0,0,0,0
VI,0,0,0,0,0,0.5,0,0,0,0
VII,0,0,0,0,0,0,0.5,0,0,0
VIII,0,0,0,0,0,0,0,0.5,0,0
IX,0,0,0,0,0,0,0,0,0.5,0
