name,volumeZero,volumeOne,volumeTwo,volumeThree,volumeFour,volumeFive,volumeSix,volumeSeven,volumeEight,volumeNine
Delta,0.3,0.3,0.3,0,0,0,0,0,0,0
Theta,0,0,0,0.3,0.3,0,0,0,0,0
Alpha,0,0,0,0,0,0.3,0.3,0,0,0
Beta,0,0,0,0,0,0,0,0.3,0.3,0.3
Deep Sleep,0.3,0.5,0.3,0,0,0,0,0,0,0
Deep Meditation,0,0.3,0.5,0.3,0,0,0,0,0,0
Relaxed,0,0,0.3,0.45,0.3,0,0,0,0,0
Inspired,0,0,0,0.25,0.4,0.25,0,0,0,0
Concentrated,0,0,0,0,0.25,0.4,0.25,0,0,0
Learning,0,0,0,0,0,0.2,0.4,0.2,0,0
Alert,0,0,0,0,0,0,0.2,0.4,0.2,0
Mind Power,0,0,0,0,0,0,0,0.2,0.4,0.3
1 Hz ,0.8,0,0,0,0,0,0,0,0,0
2 Hz ,0,0.7,0,0,0,0,0,0,0,0
3 Hz,0,0,0.6,0,0,0,0,0,0,0
4 Hz ,0,0,0,0.5,0,0,0,0,0,0
6 Hz ,0,0,0,0,0.45,0,0,0,0,0
8 Hz ,0,0,0,0,0,0.4,0,0,0,0
12 Hz ,0,0,0,0,0,0,0.35,0,0,0
16 Hz ,0,0,0,0,0,0,0,0.3,0,0
24 Hz ,0,0,0,0,0,0,0,0,0.35,0
32 Hz ,0,0,0,0,0,0,0,0,0,0.4
