name,volumeZero,volumeOne,volumeTwo,volumeThree,volumeFour,volumeFive,volumeSix,volumeSeven,volumeEight,volumeNine
Kargyraa,0,0,0,0,0,0,0.5,0,0,0
Katajjaq,0,0,0,0,0,0,0,0.5,0,0
Yoik mantra,0,0,0,0,0,0,0,0,0.5,0
Tuvan Drone,0,0,0,0,0.45,0.45,0.45,0,0,0
Inuit Trance,0,0.5,0.4,0.4,0,0,0,0.55,0,0
Shepherd Loneliness,0.4,0.4,0.4,0,0.4,0.4,0,0,0,0
Yoik for the Steppes,0,0,0,0,0.35,0,0.35,0.2,0.55,0.35
Women Sorrow,0.45,0.45,0.45,0.45,0,0.4,0.25,0.4,0,0.6
The Call,0,0,0,0,0,0,0.45,0.35,0.55,0.35
Sliding Rhythms,0.45,0.55,0.45,0.45,0.3,0.3,0,0,0,0
