name,volumeZero,volumeOne,volumeTwo,volumeThree,volumeFour,volumeFive,volumeSix,volumeSeven,volumeEight,volumeNine
3 evenly-spaced beats against 2,0,0.7,0.6,0,0,0,0,0,0,0
4-against-3,0,0,0.7,0.6,0,0,0,0,0,0
5-against-3,0,0,0.7,0,0.6,0,0,0,0,0
4-against-2,0,0.7,0,0.6,0,0,0,0,0,0
3-against-2,0,0.6,0.6,0,0,0,0,0,0,0
4-against-3,0,0,0.6,0.6,0,0,0,0,0,0
6-against-4,0,0,0,0.6,0,0.6,0,0,0,0
8-against-6,0,0,0,0,0,0.6,0,0.5,0,0
Tribal,0.6,0.4,0,0.5,0,0,0,0.4,0,0
Groovy,0,0,0.5,0,0,0.5,0,0,0.3,0
Swingy,0,0,0.5,0.5,0,0,0,0.2,0,0
Restless,0,0.4,0,0,0.5,0,0,0,0,0.3
Rejoice,0.5,0.4,0.4,0.6,0,0.6,0,0.4,0,0
10/10,0.3,0.5,0.5,0.3,0.2,0.5,0.5,0.3,0.5,0.2
Shaman Call,0,0,0,0,0,0,0,0,0,0.5
Shamans,0,0,0,0,0,0,0,0,0.5,0.4
War Drum,0.7,0,0,0,0,0,0,0,0,0
Extremes,0.7,0,0,0,0,0,0,0,0,0.5
