name,volumeZero,volumeOne,volumeTwo,volumeThree,volumeFour,volumeFive,volumeSix,volumeSeven,volumeEight,volumeNine
Delta,0.6,0.6,0,0,0,0,0,0,0,0
Theta,0.6,0,0,0.6,0,0,0,0,0,0
Alpha,0.6,0,0,0,0,0.6,0,0,0,0
Beta,0.6,0,0,0,0,0,0,0,0.6,0
2-Carrier,0.55,0.55,0,0,0,0,0,0,0,0
3-Carrier,0.5,0.5,0.5,0,0,0,0,0,0,0
4-Carrier,0.45,0.45,0.45,0.45,0,0,0,0,0,0
5-Carrier,0.4,0.4,0.4,0.4,0.4,0,0,0,0,0
All Harmonics,0.5,0.46,0.42,0.38,0.34,0.3,0.27,0.24,0.21,0.18
Odd Harmonics,0.35,0,0.35,0,0.35,0,0.35,0,0.35,0
Even Harmonics,0,0.35,0,0.35,0,0.35,0,0.35,0,0.35
Calm,0.6,0.4,0.25,0.15,0.07,0.03,0,0,0,0
Alert,0,0,0,0,0.03,0.07,0.1,0.2,0.3,0.47
1 Hz,0.65,0,0,0,0,0,0,0,0,0
2 Hz,0,0.6,0,0,0,0,0,0,0,0
3 Hz,0,0,0.6,0,0,0,0,0,0,0
4 Hz,0,0,0,0.6,0,0,0,0,0,0
6 Hz,0,0,0,0,0.6,0,0,0,0,0
8 Hz,0,0,0,0,0,0.6,0,0,0,0
12 Hz,0,0,0,0,0,0,0.6,0,0,0
16 Hz,0,0,0,0,0,0,0,0.6,0,0
24 Hz,0,0,0,0,0,0,0,0,0.55,0
32 Hz,0,0,0,0,0,0,0,0,0,0.5
