name,volumeZero,volumeOne,volumeTwo,volumeThree,volumeFour,volumeFive,volumeSix,volumeSeven,volumeEight,volumeNine
Fairy Rain,0,0,0,0,0.1,0.15,0.20,0.25,0.3,0.35
Bedroom,0,0,0,0.11,0.25,0.30,0.25,0.15,0.07,0
Under the Porch,0,0.35,0.2,0.3,0.37,0.37,0.25,0.2,0.13,0.1
Distant Storm,0.6,0.44,0.33,0.25,0.18,0.15,0.18,0.25,0.20,0.10
Getting Wet,0.7,0.44,0.20,0.38,0.48,0.40,0.34,0.30,0.27,0.27
Only Rumble,0.6,0.4,0,0,0,0,0,0,0,0
Under the Leaves,0.4,0.4,0,0,0,0.4,0,0,0.1,0.2
Dark Rain,0,0.56,0.39,0.24,0.11,0,0,0.15,0.15,0
Jungle Lodge,0.6,0,0.25,0,0.35,0,0.35,0,0.25,0
Brown,0.5,0.46,0.42,0.38,0.34,0.3,0.27,0.24,0.21,0.18
Pink,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
White,0.16,0.19,0.22,0.25,0.27,0.31,0.35,0.38,0.42,0.45
Grey,0.5,0.3,0.25,0.2,0.2,0.2,0.18,0.16,0.2,0.3
Infra,0.6,0.4,0.25,0.15,0.07,0.03,0,0,0,0
Ultra,0,0,0,0,0.03,0.06,0.12,0.19,0.3,0.45
Around 60Hz,0.35,0.5,0.35,0,0,0,0,0,0,0
125Hz,0,0.4,0.5,0.4,0,0,0,0,0,0
250Hz,0,0,0.35,0.45,0.35,0,0,0,0,0
500Hz,0,0,0,0.3,0.4,0.3,0,0,0,0
1kHz,0,0,0,0,0.3,0.4,0.3,0,0,0
2kHz,0,0,0,0,0,0.3,0.4,0.3,0,0
4kHz,0,0,0,0,0,0,0.3,0.4,0.3,0
8kHz ,0,0,0,0,0,0,0,0.35,0.45,0.35
Speech Blocker,0.14,0.22,0.28,0.4,0.46,0.42,0.28,0.21,0.13,0.05
