name,volumeZero,volumeOne,volumeTwo,volumeThree,volumeFour,volumeFive,volumeSix,volumeSeven,volumeEight,volumeNine
4th,0.35,0,0,0.35,0,0,0,0,0,0
5th,0.35,0,0,0,0,0.35,0,0,0,0
5th+8ve,0.35,0,0,0,0,0.35,0,0,0,0.35
Maj,0.35,0,0.35,0,0,0.35,0,0,0,0.35
Min,0.35,0.35,0,0,0,0.35,0,0,0,0.35
Aug,0.35,0,0.35,0,0,0,0.35,0,0,0.2
Dim,0.35,0.35,0,0,0.35,0,0,0,0,0.2
Sus4,0.35,0,0,0.35,0,0.35,0,0,0,0.2
Min7,0.35,0.35,0,0,0,0.35,0,0,0.35,0
F#,0.35,0,0,0.35,0,0,0,0.35,0,0.35
Air Leak,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
