name,volumeZero,volumeOne,volumeTwo,volumeThree,volumeFour,volumeFive,volumeSix,volumeSeven,volumeEight,volumeNine
Dr. Pigeon tone,0.4,0,0,0,0,0,0,0,0,0
Liberating from Fear and Guilt (Ut - 396Hz),0,0,0,0.4,0,0,0,0,0,0
Facilitating Changes (Re - 417Hz),0,0,0,0,0.4,0,0,0,0,0
Transformation and Miracles (Mi - 528Hz),0,0,0,0,0,0.4,0,0,0,0
Connecting with People (Fa - 639Hz),0,0,0,0,0,0,0.4,0,0,0
Solving Problems (Sol - 741Hz),0,0,0,0,0,0,0,0.4,0,0
Pure Spirit (La - 852Hz),0,0,0,0,0,0,0,0,0.4,0
Supreme State of Mind (Si - 963Hz),0,0,0,0,0,0,0,0,0,0.4
Expending State of Consciousness (285Hz),0,0,0.4,0,0,0,0,0,0,0
Pain Relief (174Hz),0,0.4,0,0,0,0,0,0,0,0
Deepener (69.3Hz),0.4,0,0,0,0,0,0,0,0,0
