name,volumeZero,volumeOne,volumeTwo,volumeThree,volumeFour,volumeFive,volumeSix,volumeSeven,volumeEight,volumeNine
Quiet Brook,0,0,0,0.17,0.27,0.3,0.32,0.18,0.35,0.2
Fresh Water,0,0,0,0,0,0,0.2,0.3,0.4,0.3
Hot Spring,0.55,0.34,0.15,0.29,0.38,0.3,0.27,0.25,0.22,0.22
Babbling Water,0,0.22,0.33,0.42,0.41,0.35,0.26,0.23,0.22,0.2
Rumbling Stream,0.59,0.49,0.42,0.33,0.26,0.22,0.19,0.18,0.17,0.17
Underwater,0,0.45,0.45,0.45,0,0,0,0,0,0
Lay Down Close,0,0.11,0.21,0.31,0.62,0.33,0.27,0.22,0.18,0.18
Brown,0.5,0.46,0.42,0.38,0.34,0.3,0.27,0.24,0.21,0.18
Pink,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
White,0.16,0.19,0.22,0.25,0.27,0.31,0.35,0.38,0.42,0.45
Grey,0.5,0.3,0.25,0.2,0.2,0.2,0.18,0.16,0.2,0.3
Infra,0.6,0.4,0.25,0.15,0.07,0.03,0,0,0,0
Ultra,0,0,0,0,0.03,0.06,0.12,0.19,0.3,0.45
Around 60Hz,0.35,0.5,0.35,0,0,0,0,0,0,0
125Hz,0,0.4,0.5,0.4,0,0,0,0,0,0
250Hz,0,0,0.35,0.45,0.35,0,0,0,0,0
500Hz,0,0,0,0.3,0.4,0.3,0,0,0,0
1kHz,0,0,0,0,0.3,0.4,0.3,0,0,0
2kHz,0,0,0,0,0,0.3,0.4,0.3,0,0
4kHz,0,0,0,0,0,0,0.3,0.4,0.3,0
8kHz ,0,0,0,0,0,0,0,0.35,0.45,0.35
Speech Blocker,0.14,0.22,0.28,0.4,0.46,0.42,0.28,0.21,0.13,0.05
