name,volumeZero,volumeOne,volumeTwo,volumeThree,volumeFour,volumeFive,volumeSix,volumeSeven,volumeEight,volumeNine
The Polders,0,0,0,0,0,0,0,0,0.2,0.4
Wind Powered,0,0,0,0,0,0,0,0.4,0.2,0.15
Pumping,0,0,0,0,0,0.35,0,0.25,0.25,0
Calm Inside,0,0,0.2,0.4,0,0,0,0,0,0
Inner Structure,0.3,0.3,0.2,0,0,0,0,0,0,0
Water Wheel,0,0,0,0,0.35,0.25,0,0,0,0
Upper Deck,0.25,0,0,0,0,0,0.35,0,0.25,0
Wooden Gears,0,0.3,0.3,0,0,0,0.25,0,0,0
Flapping Wings,0,0,0,0,0,0,0,0.35,0.35,0
1773,0.25,0,0,0,0.25,0.25,0,0.35,0.35,0.15
