name,title,description
KJV_Promises,I am the Lord your God and I never change,I am the Lord your God and I never change
KJV_Promises,I am full of mercy and grace and I overflow with love,I am full of mercy and grace and I overflow with love
KJV_Promises,The intentions of My heart will remain steadfast forever,The intentions of My heart will remain steadfast forever
KJV_Promises,I created you in My own image with My special blessing,I created you in My own image with My special blessing
KJV_Promises,I chose you to be adopted into My family before creation,I chose you to be adopted into My family before creation
KJV_Promises,I delivered you from darkness into the kingdom of My beloved Son,I delivered you from darkness into the kingdom of My beloved Son
KJV_Promises,I have given you eternal life because you have believed in Jesus Christ,I have given you eternal life because you have believed in Jesus Christ
KJV_Promises,I sent the Spirit of My Son into your heart so you could call Me Father,I sent the Spirit of My Son into your heart so you could call Me Father
KJV_Promises,"Since you are in Christ, I have made you an heir of all My s","Since you are in Christ, I have made you an heir of all My s"
KJV_Promises,I have given you a new heart and put My own Spirit in you,I have given you a new heart and put My own Spirit in you
KJV_Promises,My plan for your future is filled with hope,My plan for your future is filled with hope
KJV_Promises,I am at work in your life through the desires of your heart,I am at work in your life through the desires of your heart
KJV_Promises,I will give you rest in green pastures and lead you to still waters,I will give you rest in green pastures and lead you to still waters
KJV_Promises,I give My Spirit in unlimited measure,I give My Spirit in unlimited measure
KJV_Promises,I will take hold of your hand to keep you from falling,I will take hold of your hand to keep you from falling
KJV_Promises,I will provide every good thing you need to do My will,I will provide every good thing you need to do My will
KJV_Promises,"I will discipline you in love, as a father who loves His children","I will discipline you in love, as a father who loves His children"
KJV_Promises,My power will rest on you when you are weak,My power will rest on you when you are weak
KJV_Promises,I will bless your life and keep watch over you always,I will bless your life and keep watch over you always
KJV_Promises,"If you search for Me with all your heart, you will find me","If you search for Me with all your heart, you will find me"
KJV_Promises,I will shield your life and deliver you from the wicked,I will shield your life and deliver you from the wicked
KJV_Promises,"Cast all your worries on Me, for I really care about you","Cast all your worries on Me, for I really care about you"
KJV_Promises,I will not let you be tested beyond what you can endure,I will not let you be tested beyond what you can endure
KJV_Promises,My love will persevere through every situation,My love will persevere through every situation
KJV_Promises,I will not withhold anything good from those with an upright heart,I will not withhold anything good from those with an upright heart
KJV_Promises,I look after foreigners and I help the fatherless and the widow,I look after foreigners and I help the fatherless and the widow
KJV_Promises,I will guard those who have a childlike heart,I will guard those who have a childlike heart
KJV_Promises,You are more than a conqueror through My love in Jesus Christ,You are more than a conqueror through My love in Jesus Christ
KJV_Promises,"When Jesus appears, you will receive a crown of glory that will never dim","When Jesus appears, you will receive a crown of glory that will never dim"
KJV_Promises,"At the end of the age, My righteous ones will shine like the sun in My kingdom","At the end of the age, My righteous ones will shine like the sun in My kingdom"
KJV_Promises,Not one of My s will ever fail you,Not one of My s will ever fail you
KJV_Promises,I am seated in the heavens and My kingdom reigns over all,I am seated in the heavens and My kingdom reigns over all
KJV_Promises,"All My plans will be fulfilled, for I know the end from the beginning","All My plans will be fulfilled, for I know the end from the beginning"
KJV_Promises,I knew you before you were born and I designed you for My purposes,I knew you before you were born and I designed you for My purposes
KJV_Promises,You are holy and free from blame because of Jesus Christ’s death,You are holy and free from blame because of Jesus Christ’s death
KJV_Promises,I have blotted out your sins and dissolved them like the mist,I have blotted out your sins and dissolved them like the mist
KJV_Promises,I have sealed you with My Spirit to guarantee your coming inheritance,I have sealed you with My Spirit to guarantee your coming inheritance
KJV_Promises,I will be a real Father to you,I will be a real Father to you
KJV_Promises,I will look after you and teach you the way that is best,I will look after you and teach you the way that is best
KJV_Promises,Trust in Me with all your heart and I will guide you,Trust in Me with all your heart and I will guide you
KJV_Promises,I will give you peace at all times and in every situation,I will give you peace at all times and in every situation
KJV_Promises,Call on Me when you are in trouble and I will rescue you,Call on Me when you are in trouble and I will rescue you
KJV_Promises,I am your shelter and a place of safety from your enemies,I am your shelter and a place of safety from your enemies
KJV_Promises,"If you wait for Me, I will work on your behalf","If you wait for Me, I will work on your behalf"
KJV_Promises,My love will never fail you,My love will never fail you
